File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
2.655	-0.5051	0.0837	-0.0075
2.66	-0.5051	0.0824	-0.0075
2.665	-0.5051	0.0824	-0.0075
2.67	-0.5038	0.0824	-0.01
2.675	-0.5038	0.0824	-0.0075
2.68	-0.5038	0.0824	-0.0087
2.685	-0.5038	0.0837	-0.0075
2.69	-0.5038	0.0824	-0.0087
2.695	-0.5038	0.0837	-0.0075
2.7	-0.5051	0.0837	-0.0087
2.705	-0.5038	0.0824	-0.0087
2.71	-0.5038	0.0812	-0.0087
2.715	-0.5051	0.0824	-0.0075
2.72	-0.5038	0.0837	-0.0087
2.725	-0.5038	0.0837	-0.0075
2.73	-0.5038	0.0799	-0.0087
2.735	-0.5051	0.0812	-0.0075
2.74	-0.5038	0.0824	-0.01
2.745	-0.5038	0.0837	-0.0075
2.75	-0.5038	0.0837	-0.0087
2.755	-0.5038	0.0812	-0.0087
2.76	-0.5038	0.0824	-0.0075
2.765	-0.5038	0.085	-0.0075
2.77	-0.5038	0.0824	-0.0087
2.775	-0.5038	0.0799	-0.0075
2.78	-0.5051	0.0824	-0.0087
2.785	-0.5038	0.0837	-0.01
2.79	-0.5051	0.0812	-0.0075
2.795	-0.5025	0.0812	-0.0087
2.8	-0.5038	0.0824	-0.0087
2.805	-0.5038	0.0824	-0.0075
2.81	-0.5038	0.0824	-0.0087
2.815	-0.5051	0.0812	-0.01
2.82	-0.5038	0.0812	-0.0075
2.825	-0.5038	0.0824	-0.0075
2.83	-0.5038	0.0824	-0.01
2.835	-0.5038	0.0824	-0.01
2.84	-0.5038	0.0824	-0.0087
2.845	-0.5038	0.0837	-0.0075
2.85	-0.5038	0.0812	-0.0087
2.855	-0.5051	0.0824	-0.0075
2.86	-0.5051	0.0824	-0.0087
2.865	-0.5038	0.0824	-0.0087
2.87	-0.5025	0.0824	-0.0087
2.875	-0.5038	0.0824	-0.0075
2.88	-0.5051	0.0837	-0.0087
2.885	-0.5038	0.0837	-0.0075
2.89	-0.5038	0.0824	-0.0087
2.895	-0.5038	0.0824	-0.0087
2.9	-0.5038	0.0812	-0.0087
2.905	-0.5038	0.0824	-0.01
2.91	-0.5051	0.0837	-0.01
2.915	-0.5038	0.0824	-0.0075
2.92	-0.5038	0.0824	-0.0087
2.925	-0.5051	0.0837	-0.0087
2.93	-0.5051	0.0837	-0.0075
2.935	-0.5051	0.0812	-0.0087
2.94	-0.5051	0.0812	-0.0087
2.945	-0.5038	0.0824	-0.0075
2.95	-0.5038	0.0824	-0.0075
2.955	-0.5038	0.0824	-0.0087
2.96	-0.5051	0.0837	-0.0087
2.965	-0.5038	0.0837	-0.0087
2.97	-0.5038	0.0812	-0.0087
2.975	-0.5038	0.0824	-0.0087
2.98	-0.5051	0.0837	-0.01
2.985	-0.5051	0.0837	-0.01
2.99	-0.5051	0.0824	-0.01
2.995	-0.5038	0.0824	-0.0087
3	-0.5038	0.0824	-0.0087
3.005	-0.5038	0.0837	-0.0087
3.01	-0.5025	0.0837	-0.0087
3.015	-0.5038	0.0799	-0.0087
3.02	-0.5051	0.0799	-0.0075
3.025	-0.5051	0.0824	-0.0087
3.03	-0.5038	0.0824	-0.0087
3.035	-0.5051	0.0812	-0.0087
3.04	-0.5038	0.0824	-0.0075
3.045	-0.5051	0.0824	-0.0075
3.05	-0.5038	0.0837	-0.0087
3.055	-0.5038	0.0812	-0.0087
3.06	-0.5051	0.0812	-0.0087
3.065	-0.5038	0.0824	-0.01
3.07	-0.5038	0.0824	-0.0075
3.075	-0.5051	0.0812	-0.0087
3.08	-0.5038	0.0824	-0.0113
3.085	-0.5051	0.0812	-0.0087
3.09	-0.5038	0.0824	-0.0087
3.095	-0.5025	0.0824	-0.01
3.1	-0.5051	0.0812	-0.0075
3.105	-0.5051	0.0824	-0.0087
3.11	-0.5038	0.0812	-0.0087
3.115	-0.5038	0.0812	-0.0087
3.12	-0.5038	0.0812	-0.0075
3.125	-0.5051	0.0824	-0.0087
3.13	-0.5038	0.0812	-0.01
3.135	-0.5025	0.0824	-0.0087
3.14	-0.5025	0.0837	-0.0087
3.145	-0.5051	0.085	-0.0075
3.15	-0.5051	0.0824	-0.0075
3.155	-0.5051	0.0824	-0.0075
3.16	-0.5051	0.0824	-0.0075
3.165	-0.5051	0.0837	-0.0062
3.17	-0.5038	0.0824	-0.01
3.175	-0.5038	0.0824	-0.0087
3.18	-0.5025	0.0837	-0.0087
3.185	-0.5051	0.0824	-0.0087
3.19	-0.5038	0.0824	-0.0075
3.195	-0.5051	0.0812	-0.0087
3.2	-0.5051	0.0812	-0.0075
